schema_version,session_id,run_key,run_id,sample_index,task_type,condition,attack_type,attack_variant,attack_severity,attack_target,attack_target_object,attack_target_phase,attack_parameter_value,attack_parameter_unit,attack_event_id,attack_active,attack_source,attack_start_elapsed_seconds,attack_elapsed_seconds,task_phase,received_at,elapsed_seconds,sample_interval_seconds,instantaneous_sample_rate_hz,sampling_gap,ros_time_seconds,reported_ros_time_seconds,reported_state_source,reported_state_age_seconds,shoulder_pan_position,shoulder_pan_velocity,shoulder_pan_effort,reported_shoulder_pan_position,reported_shoulder_pan_velocity,reported_shoulder_pan_effort,shoulder_pan_position_residual,shoulder_pan_velocity_residual,shoulder_pan_effort_residual,shoulder_lift_position,shoulder_lift_velocity,shoulder_lift_effort,reported_shoulder_lift_position,reported_shoulder_lift_velocity,reported_shoulder_lift_effort,shoulder_lift_position_residual,shoulder_lift_velocity_residual,shoulder_lift_effort_residual,elbow_position,elbow_velocity,elbow_effort,reported_elbow_position,reported_elbow_velocity,reported_elbow_effort,elbow_position_residual,elbow_velocity_residual,elbow_effort_residual,wrist_1_position,wrist_1_velocity,wrist_1_effort,reported_wrist_1_position,reported_wrist_1_velocity,reported_wrist_1_effort,wrist_1_position_residual,wrist_1_velocity_residual,wrist_1_effort_residual,wrist_2_position,wrist_2_velocity,wrist_2_effort,reported_wrist_2_position,reported_wrist_2_velocity,reported_wrist_2_effort,wrist_2_position_residual,wrist_2_velocity_residual,wrist_2_effort_residual,wrist_3_position,wrist_3_velocity,wrist_3_effort,reported_wrist_3_position,reported_wrist_3_velocity,reported_wrist_3_effort,wrist_3_position_residual,wrist_3_velocity_residual,wrist_3_effort_residual,gripper_joint_name,gripper_position,gripper_velocity,gripper_effort,reported_gripper_joint_name,reported_gripper_position,reported_gripper_velocity,reported_gripper_effort,gripper_position_residual,gripper_velocity_residual,gripper_effort_residual
sentinel_joint_telemetry_v2,20260731_121313,20260731_121313:1,1,0,short_cube_pick_place,attack,denial_of_service,command_delay,medium,arm_trajectory,cube,cube_transport,750,ms,,0,,,,cube_approach,2026-07-31T12:13:17.335+01:00,0.001191,,,0,5062.662000000,5062.662000000,trusted_fallback,0.000000,6.886083581411809e-22,3.3881317890172014e-21,-3.855425735310847e-09,6.886083581411809e-22,3.3881317890172014e-21,-3.855425735310847e-09,0.0,0.0,0.0,-1.5707999999999982,-8.94326191184044e-14,0.00035185676704627714,-1.5707999999999982,-8.94326191184044e-14,0.00035185676704627714,0.0,0.0,0.0,-3.237431951452813e-17,-2.80579663777987e-21,0.0001858302172590903,-3.237431951452813e-17,-2.80579663777987e-21,0.0001858302172590903,0.0,0.0,0.0,-1.5708000000000024,1.0799042595485003e-13,0.00010494019301065658,-1.5708000000000024,1.0799042595485003e-13,0.00010494019301065658,0.0,0.0,0.0,2.7864606148730944e-17,2.1281702799764296e-20,-1.4681706181961215e-05,2.7864606148730944e-17,2.1281702799764296e-20,-1.4681706181961215e-05,0.0,0.0,0.0,-1.368760043019965e-15,0.0,8.484275865797382e-05,-1.368760043019965e-15,0.0,8.484275865797382e-05,0.0,0.0,0.0,robotiq_85_left_knuckle_joint,7.521168215025641e-10,-4.1784266526759583e-08,,robotiq_85_left_knuckle_joint,7.521168215025641e-10,-4.1784266526759583e-08,,0.0,0.0,
sentinel_joint_telemetry_v2,20260731_121313,20260731_121313:1,1,1,short_cube_pick_place,attack,denial_of_service,command_delay,medium,arm_trajectory,cube,cube_transport,750,ms,,0,,,,cube_approach,2026-07-31T12:13:17.357+01:00,0.023159,0.021968,45.521448,0,5062.684000000,5062.684000000,trusted_fallback,0.000000,5.629298445923254e-22,5.082197683525802e-21,-3.351351679033138e-09,5.629298445923254e-22,5.082197683525802e-21,-3.351351679033138e-09,0.0,0.0,0.0,-1.5707999999999982,-8.943261673612424e-14,0.0003518556330147864,-1.5707999999999982,-8.943261673612424e-14,0.0003518556330147864,0.0,0.0,0.0,-3.237419923584963e-17,-4.817499887508833e-21,0.00018582960900961258,-3.237419923584963e-17,-4.817499887508833e-21,0.00018582960900961258,0.0,0.0,0.0,-1.5708000000000024,1.079904441660584e-13,0.00010494006996520218,-1.5708000000000024,1.079904441660584e-13,0.00010494006996520218,0.0,0.0,0.0,2.786387251231951e-17,3.2610768469290563e-20,-1.4681367025074238e-05,2.786387251231951e-17,3.2610768469290563e-20,-1.4681367025074238e-05,0.0,0.0,0.0,-1.3687600091386475e-15,6.776263578034403e-21,8.484275895480083e-05,-1.3687600091386475e-15,6.776263578034403e-21,8.484275895480083e-05,0.0,0.0,0.0,robotiq_85_left_knuckle_joint,6.092146299711958e-10,-3.384525588614485e-08,,robotiq_85_left_knuckle_joint,6.092146299711958e-10,-3.384525588614485e-08,,0.0,0.0,
sentinel_joint_telemetry_v2,20260731_121313,20260731_121313:1,1,2,short_cube_pick_place,attack,denial_of_service,command_delay,medium,arm_trajectory,cube,cube_transport,750,ms,,0,,,,cube_approach,2026-07-31T12:13:17.377+01:00,0.043243,0.020085,49.789195,0,5062.704000000,5062.704000000,trusted_fallback,0.000000,-0.00021717599796767435,-0.0412679997951299,-26.07736643705619,-0.00021717599796767435,-0.0412679997951299,-26.07736643705619,0.0,0.0,0.0,-1.5713222158139768,-0.06562140196492446,150.0,-1.5713222158139768,-0.06562140196492446,150.0,0.0,0.0,0.0,0.0034581658352499716,0.6571241196403489,63.02951548925448,0.0034581658352499716,0.6571241196403489,63.02951548925448,0.0,0.0,0.0,-1.5713782311097335,-0.1098760506138604,7.452320164703074,-1.5713782311097335,-0.1098760506138604,7.452320164703074,0.0,0.0,0.0,-0.0028428338343057294,-0.5401981197160497,-5.408118270738856,-0.0028428338343057294,-0.5401981197160497,-5.408118270738856,0.0,0.0,0.0,-4.888962445784788e-13,-1.4763377532197447e-11,0.04281891005326844,-4.888962445784788e-13,-1.4763377532197447e-11,0.04281891005326844,0.0,0.0,0.0,robotiq_85_left_knuckle_joint,5.542282550710646e-10,-3.025830210023374e-08,,robotiq_85_left_knuckle_joint,5.542282550710646e-10,-3.025830210023374e-08,,0.0,0.0,
sentinel_joint_telemetry_v2,20260731_121313,20260731_121313:1,1,3,short_cube_pick_place,attack,denial_of_service,command_delay,medium,arm_trajectory,cube,cube_transport,750,ms,,0,,,,cube_approach,2026-07-31T12:13:17.399+01:00,0.065251,0.022007,45.439637,0,5062.726000000,5062.726000000,trusted_fallback,0.000000,-0.0018847248421309676,-0.09529306431727393,0.01563203496113719,-0.0018847248421309676,-0.09529306431727393,0.01563203496113719,0.0,0.0,0.0,-1.5716654147168039,0.01374526203823552,-0.7595365423150776,-1.5716654147168039,0.01374526203823552,-0.7595365423150776,0.0,0.0,0.0,0.03001110194661996,1.517383225173662,-0.7173926485482031,0.03001110194661996,1.517383225173662,-0.7173926485482031,0.0,0.0,0.0,-1.5758180799148598,-0.2537177825352875,-0.10488826685395694,-1.5758180799148598,-0.2537177825352875,-0.10488826685395694,0.0,0.0,0.0,-0.024671048217175823,-1.2473862101366937,0.046917569107194544,-0.024671048217175823,-1.2473862101366937,0.046917569107194544,0.0,0.0,0.0,-6.726400328836849e-13,3.516904822919997e-11,-1.9955955495350123e-05,-6.726400328836849e-13,3.516904822919997e-11,-1.9955955495350123e-05,0.0,0.0,0.0,robotiq_85_left_knuckle_joint,1.8027259135936034e-10,-9.989426972894719e-09,,robotiq_85_left_knuckle_joint,1.8027259135936034e-10,-9.989426972894719e-09,,0.0,0.0,
sentinel_joint_telemetry_v2,20260731_121313,20260731_121313:1,1,4,short_cube_pick_place,attack,denial_of_service,command_delay,medium,arm_trajectory,cube,cube_transport,750,ms,,0,,,,cube_approach,2026-07-31T12:13:17.421+01:00,0.087228,0.021977,45.501975,0,5062.748000000,5062.748000000,trusted_fallback,0.000000,-0.004213182075223799,-0.11260099581891735,0.04612115248402875,-0.004213182075223799,-0.11260099581891735,0.04612115248402875,0.0,0.0,0.0,-1.5717059605331498,-0.009179970379194841,-1.8800186135588843,-1.5717059605331498,-0.009179970379194841,-1.8800186135588843,0.0,0.0,0.0,0.06708790259956393,1.7929831889229668,-1.6680191949940384,0.06708790259956393,1.7929831889229668,-1.6680191949940384,0.0,0.0,0.0,-1.5820175972864452,-0.2998001507304027,-0.23907621249915104,-1.5820175972864452,-0.2998001507304027,-0.23907621249915104,0.0,0.0,0.0,-0.055150553381309995,-1.4739470343757444,0.10887612217242235,-0.055150553381309995,-1.4739470343757444,0.10887612217242235,0.0,0.0,0.0,-3.5174717675974595e-13,1.8977674466624794e-11,-0.00015650880623128624,-3.5174717675974595e-13,1.8977674466624794e-11,-0.00015650880623128624,0.0,0.0,0.0,robotiq_85_left_knuckle_joint,0.0007641107220799515,-0.04245059566758107,,robotiq_85_left_knuckle_joint,0.0007641107220799515,-0.04245059566758107,,0.0,0.0,
sentinel_joint_telemetry_v2,20260731_121313,20260731_121313:1,1,5,short_cube_pick_place,attack,denial_of_service,command_delay,medium,arm_trajectory,cube,cube_transport,750,ms,,0,,,,cube_approach,2026-07-31T12:13:17.443+01:00,0.109246,0.022018,45.417080,0,5062.770000000,5062.770000000,trusted_fallback,0.000000,-0.006761793946273151,-0.11767811409610611,0.0839268303873016,-0.006761793946273151,-0.11767811409610611,0.0839268303873016,0.0,0.0,0.0,-1.5720181070735189,-0.017016273688252204,-3.101967038161369,-1.5720181070735189,-0.017016273688252204,-3.101967038161369,0.0,0.0,0.0,0.1076702989467922,1.8738278363129974,-2.7096468299940244,0.1076702989467922,1.8738278363129974,-2.7096468299940244,0.0,0.0,0.0,-1.5888032763860083,-0.3133179785032176,-0.3863944936447328,-1.5888032763860083,-0.3133179785032176,-0.3863944936447328,0.0,0.0,0.0,-0.08851188276352563,-1.5404065131538554,0.17895761709699015,-0.08851188276352563,-1.5404065131538554,0.17895761709699015,0.0,0.0,0.0,-1.471214845011482e-13,8.243128402085631e-12,-0.0003789134808271275,-1.471214845011482e-13,8.243128402085631e-12,-0.0003789134808271275,0.0,0.0,0.0,robotiq_85_left_knuckle_joint,0.00023978604153154272,-0.013321446758556357,,robotiq_85_left_knuckle_joint,0.00023978604153154272,-0.013321446758556357,,0.0,0.0,
sentinel_joint_telemetry_v2,20260731_121313,20260731_121313:1,1,6,short_cube_pick_place,attack,denial_of_service,command_delay,medium,arm_trajectory,cube,cube_transport,750,ms,,0,,,,cube_approach,2026-07-31T12:13:17.463+01:00,0.129258,0.020012,49.969124,0,5062.790000000,5062.790000000,trusted_fallback,0.000000,-0.009134572647960687,-0.11919040844755581,0.11759750904371982,-0.009134572647960687,-0.11919040844755581,0.11759750904371982,0.0,0.0,0.0,-1.5723880922257312,-0.01935043189637383,-4.223659280089301,-1.5723880922257312,-0.01935043189637383,-4.223659280089301,0.0,0.0,0.0,0.14545284513489906,1.8979086036501085,-3.673910727336726,0.14545284513489906,1.8979086036501085,-3.673910727336726,0.0,0.0,0.0,-1.5951207996761492,-0.3173444623638889,-0.5228226242331375,-1.5951207996761492,-0.3173444623638889,-0.5228226242331375,0.0,0.0,0.0,-0.11957155596471462,-1.5602024464291413,0.2430002157720069,-0.11957155596471462,-1.5602024464291413,0.2430002157720069,0.0,0.0,0.0,-5.931248311165429e-14,3.655900235322029e-12,-0.0005618832483500747,-5.931248311165429e-14,3.655900235322029e-12,-0.0005618832483500747,0.0,0.0,0.0,robotiq_85_left_knuckle_joint,8.360822291580795e-05,-0.004644901286224258,,robotiq_85_left_knuckle_joint,8.360822291580795e-05,-0.004644901286224258,,0.0,0.0,
sentinel_joint_telemetry_v2,20260731_121313,20260731_121313:1,1,7,short_cube_pick_place,attack,denial_of_service,command_delay,medium,arm_trajectory,cube,cube_transport,750,ms,,0,,,,cube_approach,2026-07-31T12:13:17.486+01:00,0.151299,0.022041,45.369358,0,5062.812000000,5062.812000000,trusted_fallback,0.000000,-0.011764573051345366,-0.11974594159321182,0.15346182744402423,-0.011764573051345366,-0.11974594159321182,0.15346182744402423,0.0,0.0,0.0,-1.5728258582986694,-0.0202078722867118,-5.4512243764412185,-1.5728258582986694,-0.0202078722867118,-5.4512243764412185,0.0,0.0,0.0,0.18733121822255083,1.9067545432342372,-4.735115328364522,0.18733121822255083,1.9067545432342372,-4.735115328364522,0.0,0.0,0.0,-1.602123175748532,-0.31882356943477247,-0.6727859500377105,-1.602123175748532,-0.31882356943477247,-0.6727859500377105,0.0,0.0,0.0,-0.15399826124330998,-1.5674743754034908,0.3123942643644993,-0.15399826124330998,-1.5674743754034908,0.3123942643644993,0.0,0.0,0.0,-1.6249976426144795e-14,1.4770892842186356e-12,-0.0007520339789699953,-1.6249976426144795e-14,1.4770892842186356e-12,-0.0007520339789699953,0.0,0.0,0.0,robotiq_85_left_knuckle_joint,2.6237146108186405e-05,-0.0014576192468347855,,robotiq_85_left_knuckle_joint,2.6237146108186405e-05,-0.0014576192468347855,,0.0,0.0,
sentinel_joint_telemetry_v2,20260731_121313,20260731_121313:1,1,8,short_cube_pick_place,attack,denial_of_service,command_delay,medium,arm_trajectory,cube,cube_transport,750,ms,,0,,,,cube_approach,2026-07-31T12:13:17.507+01:00,0.173213,0.021913,45.634162,0,5062.834000000,5062.834000000,trusted_fallback,0.000000,-0.014401435071982518,-0.11992027378020191,0.1887339329753361,-0.014401435071982518,-0.11992027378020191,0.1887339329753361,0.0,0.0,0.0,-1.5732742149687873,-0.020476946167419498,-6.667778508118126,-1.5732742149687873,-0.020476946167419498,-6.667778508118126,0.0,0.0,0.0,0.2293188511304043,1.9095304928061916,-5.789972010469828,0.2293188511304043,1.9095304928061916,-5.789972010469828,0.0,0.0,0.0,-1.6091438208776716,-0.31928772891053486,-0.8214363577491219,-1.6091438208776716,-0.31928772891053486,-0.8214363577491219,0.0,0.0,0.0,-0.18851478509287695,-1.5697563837675734,0.38035085552024345,-0.18851478509287695,-1.5697563837675734,0.38035085552024345,0.0,0.0,0.0,2.1673710820368966e-15,6.282856179762319e-13,-0.0009372369381495352,2.1673710820368966e-15,6.282856179762319e-13,-0.0009372369381495352,0.0,0.0,0.0,robotiq_85_left_knuckle_joint,-2.0991013872299728e-14,-1.5412705833828255e-12,,robotiq_85_left_knuckle_joint,-2.0991013872299728e-14,-1.5412705833828255e-12,,0.0,0.0,
sentinel_joint_telemetry_v2,20260731_121313,20260731_121313:1,1,9,short_cube_pick_place,attack,denial_of_service,command_delay,medium,arm_trajectory,cube,cube_transport,750,ms,,0,,,,cube_approach,2026-07-31T12:13:17.530+01:00,0.195303,0.022090,45.268783,0,5062.856000000,5062.856000000,trusted_fallback,0.000000,-0.017040450340811916,-0.11997498106753508,0.2236538291018876,-0.017040450340811916,-0.11997498106753508,0.2236538291018876,0.0,0.0,0.0,-1.573725895080529,-0.020561384402577633,-7.87064350743877,-1.573725895080529,-0.020561384402577633,-7.87064350743877,0.0,0.0,0.0,0.2713407709275363,1.910401615195209,-6.834682584363786,0.2713407709275363,1.910401615195209,-6.834682584363786,0.0,0.0,0.0,-1.616170199030464,-0.3194333870743444,-0.9680340600822441,-1.616170199030464,-0.3194333870743444,-0.9680340600822441,0.0,0.0,0.0,-0.22305949496171243,-1.570472502171773,0.44647314623858636,-0.22305949496171243,-1.570472502171773,0.44647314623858636,0.0,0.0,0.0,1.0784890974154797e-14,3.0832628117316574e-13,-0.00111878775779796,1.0784890974154797e-14,3.0832628117316574e-13,-0.00111878775779796,0.0,0.0,0.0,robotiq_85_left_knuckle_joint,-2.454266936977988e-14,-5.714317907745681e-13,,robotiq_85_left_knuckle_joint,-2.454266936977988e-14,-5.714317907745681e-13,,0.0,0.0,
sentinel_joint_telemetry_v2,20260731_121313,20260731_121313:1,1,10,short_cube_pick_place,attack,denial_of_service,command_delay,medium,arm_trajectory,cube,cube_transport,750,ms,,0,,,,cube_approach,2026-07-31T12:13:17.551+01:00,0.217197,0.021893,45.675787,0,5062.878000000,5062.878000000,trusted_fallback,0.000000,-0.01968014132173755,-0.11999214879392123,0.25841004940736767,-0.01968014132173755,-0.11999214879392123,0.25841004940736767,0.0,0.0,0.0,-1.574178618123472,-0.020587882015640224,-9.057970926819461,-1.574178618123472,-0.020587882015640224,-9.057970926819461,0.0,0.0,0.0,0.31337345031381636,1.9106749826308267,-7.866922946627437,0.31337345031381636,1.9106749826308267,-7.866922946627437,0.0,0.0,0.0,-1.6231983762668614,-0.31947909615086656,-1.1121119430161972,-1.6231983762668614,-0.31947909615086656,-1.1121119430161972,0.0,0.0,0.0,-0.25761304990204364,-1.5706972277146387,0.5105130324905356,-0.25761304990204364,-1.5706972277146387,0.5105130324905356,0.0,0.0,0.0,1.5647581085839188e-14,1.902124291408569e-13,-0.001298716402707982,1.5647581085839188e-14,1.902124291408569e-13,-0.001298716402707982,0.0,0.0,0.0,robotiq_85_left_knuckle_joint,-2.7608886788636585e-14,-2.5753010834961287e-13,,robotiq_85_left_knuckle_joint,-2.7608886788636585e-14,-2.5753010834961287e-13,,0.0,0.0,
sentinel_joint_telemetry_v2,20260731_121313,20260731_121313:1,1,11,short_cube_pick_place,attack,denial_of_service,command_delay,medium,arm_trajectory,cube,cube_transport,750,ms,,0,,,,cube_approach,2026-07-31T12:13:17.571+01:00,0.237233,0.020037,49.908298,0,5062.898000000,5062.898000000,trusted_fallback,0.000000,-0.022080049275861317,-0.11999726245371908,0.28988925533311716,-0.022080049275861317,-0.11999726245371908,0.28988925533311716,0.0,0.0,0.0,-1.5745904760547846,-0.02059577471952542,-10.122044088273803,-1.5745904760547846,-0.02059577471952542,-10.122044088273803,0.0,0.0,0.0,0.35158798463671387,1.9107564091420264,-8.792741122344193,0.35158798463671387,1.9107564091420264,-8.792741122344193,0.0,0.0,0.0,-1.6295881311944922,-0.3194927112726219,-1.2405536299057334,-1.6295881311944922,-0.3194927112726219,-1.2405536299057334,0.0,0.0,0.0,-0.2890278450215842,-1.5707641655227416,0.5666658332715531,-0.2890278450215842,-1.5707641655227416,0.5666658332715531,0.0,0.0,0.0,1.8812462637115554e-14,1.489260104126089e-13,-0.001460936093959305,1.8812462637115554e-14,1.489260104126089e-13,-0.001460936093959305,0.0,0.0,0.0,robotiq_85_left_knuckle_joint,-2.995977363493949e-14,-1.5149687060400652e-13,,robotiq_85_left_knuckle_joint,-2.995977363493949e-14,-1.5149687060400652e-13,,0.0,0.0,
sentinel_joint_telemetry_v2,20260731_121313,20260731_121313:1,1,12,short_cube_pick_place,attack,denial_of_service,command_delay,medium,arm_trajectory,cube,cube_transport,750,ms,,0,,,,cube_approach,2026-07-31T12:13:17.593+01:00,0.259212,0.021979,45.498683,0,5062.920000000,5062.920000000,trusted_fallback,0.000000,-0.02472001546330674,-0.11999914092896624,0.3243845589629661,-0.02472001546330674,-0.11999914092896624,0.3243845589629661,0.0,0.0,0.0,-1.5750436238666092,-0.02059867406169005,-11.273644610190036,-1.5750436238666092,-0.02059867406169005,-11.273644610190036,0.0,0.0,0.0,0.3936250462282283,1.9107863207299551,-9.795506378241068,0.3936250462282283,1.9107863207299551,-9.795506378241068,0.0,0.0,0.0,-1.636617041168365,-0.3194977127148659,-1.3786963603832159,-1.636617041168365,-0.3194977127148659,-1.3786963603832159,0.0,0.0,0.0,-0.3235850024153268,-1.5707887547640984,0.6258923393287539,-0.3235850024153268,-1.5707887547640984,0.6258923393287539,0.0,0.0,0.0,2.1747548838976227e-14,1.303020191745219e-13,-0.0016378077843963034,2.1747548838976227e-14,1.303020191745219e-13,-0.0016378077843963034,0.0,0.0,0.0,robotiq_85_left_knuckle_joint,-3.205367160661728e-14,-9.731798700229888e-14,,robotiq_85_left_knuckle_joint,-3.205367160661728e-14,-9.731798700229888e-14,,0.0,0.0,
sentinel_joint_telemetry_v2,20260731_121313,20260731_121313:1,1,13,short_cube_pick_place,attack,denial_of_service,command_delay,medium,arm_trajectory,cube,cube_transport,750,ms,,0,,,,cube_approach,2026-07-31T12:13:17.613+01:00,0.279258,0.020046,49.884993,0,5062.940000000,5062.940000000,trusted_fallback,0.000000,-0.02712000539173989,-0.11999970046044335,0.355609478832967,-0.02712000539173989,-0.11999970046044335,0.355609478832967,0.0,0.0,0.0,-1.5754556083215838,-0.020599537673470787,-12.30160808385627,-1.5754556083215838,-0.020599537673470787,-12.30160808385627,0.0,0.0,0.0,0.43184088585539676,1.9107952303360303,-10.691377257789288,0.43184088585539676,1.9107952303360303,-10.691377257789288,0.0,0.0,0.0,-1.643007014352667,-0.319499202468796,-1.5011318327977927,-1.643007014352667,-0.319499202468796,-1.5011318327977927,0.0,0.0,0.0,-0.35500087057859325,-1.570796079031073,0.6771972958829922,-0.35500087057859325,-1.570796079031073,0.6771972958829922,0.0,0.0,0.0,2.4197457170734848e-14,1.2264841919851222e-13,-0.0017970484265861794,2.4197457170734848e-14,1.2264841919851222e-13,-0.0017970484265861794,0.0,0.0,0.0,robotiq_85_left_knuckle_joint,-3.3501926317218246e-14,-6.650929806895078e-14,,robotiq_85_left_knuckle_joint,-3.3501926317218246e-14,-6.650929806895078e-14,,0.0,0.0,
sentinel_joint_telemetry_v2,20260731_121313,20260731_121313:1,1,14,short_cube_pick_place,attack,denial_of_service,command_delay,medium,arm_trajectory,cube,cube_transport,750,ms,,0,,,,cube_approach,2026-07-31T12:13:17.635+01:00,0.301250,0.021992,45.471209,0,5062.962000000,5062.962000000,trusted_fallback,0.000000,-0.029760001692004077,-0.11999990600130177,0.38978496337867374,-0.029760001692004077,-0.11999990600130177,0.38978496337867374,0.0,0.0,0.0,-1.5759088026111945,-0.02059985491664816,-13.409532484607286,-1.5759088026111945,-0.02059985491664816,-13.409532484607286,0.0,0.0,0.0,0.47387842694335724,1.9107985032312578,-11.65784815758918,0.47387842694335724,1.9107985032312578,-11.65784815758918,0.0,0.0,0.0,-1.650036004501982,-0.31949974972263373,-1.6320318299103744,-1.650036004501982,-0.31949974972263373,-1.6320318299103744,0.0,0.0,0.0,-0.38955842214913194,-1.5707987695606658,0.7305965440208044,-0.38955842214913194,-1.5707987695606658,0.7305965440208044,0.0,0.0,0.0,2.6770149230123112e-14,1.1784323517005646e-13,-0.0019703419071991028,2.6770149230123112e-14,1.1784323517005646e-13,-0.0019703419071991028,0.0,0.0,0.0,robotiq_85_left_knuckle_joint,-3.4588227505109687e-14,-3.906944212594965e-14,,robotiq_85_left_knuckle_joint,-3.4588227505109687e-14,-3.906944212594965e-14,,0.0,0.0,
sentinel_joint_telemetry_v2,20260731_121313,20260731_121313:1,1,15,short_cube_pick_place,attack,denial_of_service,command_delay,medium,arm_trajectory,cube,cube_transport,750,ms,,0,,,,cube_approach,2026-07-31T12:13:17.655+01:00,0.321270,0.020020,49.949104,0,5062.982000000,5062.982000000,trusted_fallback,0.000000,-0.03216000058998311,-0.11999996722466816,0.4206718060718868,-0.03216000058998311,-0.11999996722466816,0.4206718060718868,0.0,0.0,0.0,-1.576320800910264,-0.020599949412245067,-14.394256961947802,-1.576320800910264,-0.020599949412245067,-14.394256961947802,0.0,0.0,0.0,0.5120944093955813,1.9107994781109139,-12.517754830573345,0.5120944093955813,1.9107994781109139,-12.517754830573345,0.0,0.0,0.0,-1.656426001567748,-0.3194999127309079,-1.7473316087663153,-1.656426001567748,-0.3194999127309079,-1.7473316087663153,0.0,0.0,0.0,-0.4209744077237453,-1.5707995709742422,0.7761768125948114,-0.4209744077237453,-1.5707995709742422,0.7761768125948114,0.0,0.0,0.0,2.903695229482195e-14,1.1479012185233728e-13,-0.0021260283786565543,2.903695229482195e-14,1.1479012185233728e-13,-0.0021260283786565543,0.0,0.0,0.0,robotiq_85_left_knuckle_joint,-3.511195440029491e-14,-1.6105172750968677e-14,,robotiq_85_left_knuckle_joint,-3.511195440029491e-14,-1.6105172750968677e-14,,0.0,0.0,
sentinel_joint_telemetry_v2,20260731_121313,20260731_121313:1,1,16,short_cube_pick_place,attack,denial_of_service,command_delay,medium,arm_trajectory,cube,cube_transport,750,ms,,0,,,,cube_approach,2026-07-31T12:13:17.677+01:00,0.343185,0.021915,45.631517,0,5063.004000000,5063.004000000,trusted_fallback,0.000000,-0.034800000185161405,-0.11999998971474013,0.4544145248370957,-0.034800000185161405,-0.11999998971474013,0.4544145248370957,0.0,0.0,0.0,-1.57677400028543,-0.020599984124753327,-15.450822786448438,-1.57677400028543,-0.020599984124753327,-15.450822786448438,0.0,0.0,0.0,0.5541320029495388,1.9107998362273606,-13.441483614479967,0.5541320029495388,1.9107998362273606,-13.441483614479967,0.0,0.0,0.0,-1.6634550004898196,-0.3194999726117629,-1.8698055273087557,-1.6634550004898196,-0.3194999726117629,-1.8698055273087557,0.0,0.0,0.0,-0.45553200242469677,-1.5707998653689361,0.8228362355945061,-0.45553200242469677,-1.5707998653689361,0.8228362355945061,0.0,0.0,0.0,3.146704834976144e-14,1.1192956284045152e-13,-0.0022950702953995782,3.146704834976144e-14,1.1192956284045152e-13,-0.0022950702953995782,0.0,0.0,0.0,robotiq_85_left_knuckle_joint,-3.5175955288217606e-14,8.652800698172314e-15,,robotiq_85_left_knuckle_joint,-3.5175955288217606e-14,8.652800698172314e-15,,0.0,0.0,
sentinel_joint_telemetry_v2,20260731_121313,20260731_121313:1,1,17,short_cube_pick_place,attack,denial_of_service,command_delay,medium,arm_trajectory,cube,cube_transport,750,ms,,0,,,,cube_approach,2026-07-31T12:13:17.697+01:00,0.363223,0.020038,49.905409,0,5063.024000000,5063.024000000,trusted_fallback,0.000000,-0.037200000064579054,-0.1199999964137387,0.4848459957034364,-0.037200000064579054,-0.1199999964137387,0.4848459957034364,0.0,0.0,0.0,-1.5771860000993092,-0.020599994464432194,-16.38549886343472,-1.5771860000993092,-0.020599994464432194,-16.38549886343472,0.0,0.0,0.0,0.5923480010295197,1.910799942897323,-14.259718637692174,0.5923480010295197,1.910799942897323,-14.259718637692174,0.0,0.0,0.0,-1.669845000168705,-0.3194999904487105,-1.9769479237990075,-1.669845000168705,-0.3194999904487105,-1.9769479237990075,0.0,0.0,0.0,-0.48694800084632867,-1.5707999530584977,0.861912556198408,-0.48694800084632867,-1.5707999530584977,0.861912556198408,0.0,0.0,0.0,3.3623830047443405e-14,1.0935696792557792e-13,-0.002446578806481547,3.3623830047443405e-14,1.0935696792557792e-13,-0.002446578806481547,0.0,0.0,0.0,robotiq_85_left_knuckle_joint,-3.4769578966735275e-14,3.0933589023618424e-14,,robotiq_85_left_knuckle_joint,-3.4769578966735275e-14,3.0933589023618424e-14,,0.0,0.0,
sentinel_joint_telemetry_v2,20260731_121313,20260731_121313:1,1,18,short_cube_pick_place,attack,denial_of_service,command_delay,medium,arm_trajectory,cube,cube_transport,750,ms,,0,,,,cube_approach,2026-07-31T12:13:17.717+01:00,0.383262,0.020039,49.902493,0,5063.044000000,5063.044000000,trusted_fallback,0.000000,-0.03960000002253435,-0.11999999874953599,0.5150119510524855,-0.03960000002253435,-0.11999999874953599,0.5150119510524855,0.0,0.0,0.0,-1.5775980000344088,-0.02059999806967716,-17.294064705189484,-1.5775980000344088,-0.02059999806967716,-17.294064705189484,0.0,0.0,0.0,0.6305640003600733,1.910799980090582,-15.056198631538109,0.6305640003600733,1.910799980090582,-15.056198631538109,0.0,0.0,0.0,-1.6762350000567132,-0.3194999966685251,-2.0798798416809916,-1.6762350000567132,-0.3194999966685251,-2.0798798416809916,0.0,0.0,0.0,-0.5183640002960118,-1.5707999836337432,0.8976493989726927,-0.5183640002960118,-1.5707999836337432,0.8976493989726927,0.0,0.0,0.0,3.573331797899982e-14,1.0691447727140257e-13,-0.002595878696457972,3.573331797899982e-14,1.0691447727140257e-13,-0.002595878696457972,0.0,0.0,0.0,robotiq_85_left_knuckle_joint,-3.3922780640831106e-14,5.270436864712735e-14,,robotiq_85_left_knuckle_joint,-3.3922780640831106e-14,5.270436864712735e-14,,0.0,0.0,
